priority,date,max_imerg_mm,total_imerg_mm,catchments_hit,wettest_catchment,window_start_utc,window_end_utc,window_hours,landsat8,landsat8_p_catch,sentinel2,sentinel2_p_catch,p_catch_any
1,2014-03-09,21.5472560368737,97.70739897715787,5,AQ-C05,2014-03-09 19:08:42,2014-03-11 18:16:30,47.13,True,0.122734375,False,0.0,0.12273437500000006
2,2022-01-01,21.526798923897037,95.03563372191797,5,AQ-C04,2022-01-01 19:08:42,2022-01-03 18:16:30,47.13,True,0.122734375,True,0.39275000000000004,0.4672804492187501
5,2020-03-12,14.383354996552216,53.60815099590345,5,AQ-C01,2020-03-12 19:08:42,2020-03-14 18:16:30,47.13,True,0.122734375,True,0.39275000000000004,0.4672804492187501
6,2016-03-26,13.571937430933465,49.13553966459616,5,AQ-C01,2016-03-26 19:08:42,2016-03-28 18:16:30,47.13,True,0.122734375,True,0.39275000000000004,0.4672804492187501
8,2018-12-05,11.671723867094954,17.873204964569652,2,AQ-C02,2018-12-05 19:08:42,2018-12-07 18:16:30,47.13,True,0.122734375,True,0.39275000000000004,0.4672804492187501
11,2022-01-09,10.485685114663239,49.29089166842949,5,AQ-C04,2022-01-09 19:08:42,2022-01-11 18:16:30,47.13,True,0.122734375,True,0.39275000000000004,0.4672804492187501
12,2014-12-09,10.442069803044491,31.795534313743627,5,AQ-C01,2014-12-09 19:08:42,2014-12-11 18:16:30,47.13,True,0.122734375,False,0.0,0.12273437500000006
13,2016-10-27,10.20196726829546,48.18516066802735,5,AQ-C03,2016-10-27 19:08:42,2016-10-29 18:16:30,47.13,True,0.122734375,True,0.39275000000000004,0.4672804492187501
14,2016-12-23,10.189235743518987,42.29357243608352,5,AQ-C02,2016-12-23 19:08:42,2016-12-25 18:16:30,47.13,True,0.122734375,True,0.39275000000000004,0.4672804492187501
16,2016-12-24,9.556695514221994,41.65503523460096,5,AQ-C01,2016-12-24 19:08:42,2016-12-26 18:16:30,47.13,True,0.122734375,True,0.39275000000000004,0.4672804492187501
18,2018-04-27,9.451010063711172,9.451010063711172,1,AQ-C02,2018-04-27 19:08:42,2018-04-29 18:16:30,47.13,True,0.122734375,True,0.39275000000000004,0.4672804492187501
19,2020-01-10,8.794134402481374,34.10132583573506,4,AQ-C03,2020-01-10 19:08:42,2020-01-12 18:16:30,47.13,True,0.122734375,True,0.39275000000000004,0.4672804492187501
21,2019-01-27,8.645180121664861,38.95778977805372,5,AQ-C03,2019-01-27 19:08:42,2019-01-29 18:16:30,47.13,True,0.122734375,True,0.39275000000000004,0.4672804492187501
22,2019-02-07,8.552884150725747,38.18462475380618,5,AQ-C05,2019-02-07 19:08:42,2019-02-09 18:16:30,47.13,True,0.122734375,True,0.39275000000000004,0.4672804492187501
24,2016-10-28,8.29330444732949,36.9607554508286,5,AQ-C02,2016-10-28 19:08:42,2016-10-30 18:16:30,47.13,True,0.122734375,True,0.39275000000000004,0.4672804492187501
25,2015-02-23,8.234201348115782,33.39740249427979,5,AQ-C01,2015-02-23 19:08:42,2015-02-25 18:16:30,47.13,True,0.122734375,False,0.0,0.12273437500000006
26,2014-02-15,7.971388689165741,30.607463903386968,4,AQ-C02,2014-02-15 19:08:42,2014-02-17 18:16:30,47.13,True,0.122734375,False,0.0,0.12273437500000006
27,2022-11-23,7.559488986496418,7.559488986496418,1,AQ-C01,2022-11-23 19:08:42,2022-11-25 18:16:30,47.13,True,0.122734375,True,0.39275000000000004,0.4672804492187501
28,2021-01-14,7.456548257964105,21.258002753824023,3,AQ-C04,2021-01-14 19:08:42,2021-01-16 18:16:30,47.13,True,0.122734375,True,0.39275000000000004,0.4672804492187501
31,2020-03-13,7.096291161161237,26.97488906618061,4,AQ-C04,2020-03-13 19:08:42,2020-03-15 18:16:30,47.13,True,0.122734375,True,0.39275000000000004,0.4672804492187501
33,2021-02-03,6.99732804164615,27.05024030912861,4,AQ-C05,2021-02-03 19:08:42,2021-02-05 18:16:30,47.13,True,0.122734375,True,0.39275000000000004,0.4672804492187501
37,2020-02-24,6.893299932843985,6.893299932843985,1,AQ-C02,2020-02-24 19:08:42,2020-02-26 18:16:30,47.13,True,0.122734375,True,0.39275000000000004,0.4672804492187501
38,2021-12-31,6.834320102604031,23.884443785347287,4,AQ-C03,2021-12-31 19:08:42,2022-01-02 18:16:30,47.13,True,0.122734375,True,0.39275000000000004,0.4672804492187501
40,2019-02-06,6.59685199574661,27.76391645254856,5,AQ-C01,2019-02-06 19:08:42,2019-02-08 18:16:30,47.13,True,0.122734375,True,0.39275000000000004,0.4672804492187501
44,2017-01-26,6.313557224977238,6.313557224977238,1,AQ-C01,2017-01-26 19:08:42,2017-01-28 18:16:30,47.13,True,0.122734375,True,0.39275000000000004,0.4672804492187501
46,2019-12-15,6.261753110487932,29.208639331795073,5,AQ-C03,2019-12-15 19:08:42,2019-12-17 18:16:30,47.13,True,0.122734375,True,0.39275000000000004,0.4672804492187501
49,2018-11-23,5.888245983342144,5.888245983342144,1,AQ-C02,2018-11-23 19:08:42,2018-11-25 18:16:30,47.13,True,0.122734375,True,0.39275000000000004,0.4672804492187501
50,2014-03-02,5.855124483846799,16.436066224314708,3,AQ-C02,2014-03-02 19:08:42,2014-03-04 18:16:30,47.13,True,0.122734375,False,0.0,0.12273437500000006
52,2016-01-07,5.820363145812435,22.371852448874147,4,AQ-C03,2016-01-07 19:08:42,2016-01-09 18:16:30,47.13,True,0.122734375,True,0.39275000000000004,0.4672804492187501
54,2022-11-29,5.2872179201951806,10.309364154563346,2,AQ-C02,2022-11-29 19:08:42,2022-12-01 18:16:30,47.13,True,0.122734375,True,0.39275000000000004,0.4672804492187501
56,2018-10-25,5.217836507781437,5.217836507781437,1,AQ-C01,2018-10-25 19:08:42,2018-10-27 18:16:30,47.13,True,0.122734375,True,0.39275000000000004,0.4672804492187501
