row,col,utm_x,utm_y,upstream_km2,accum_cells,mouth_cells,elev_m
2854,755,690951.4,3270055.7,4453.08,4947865,3,0.04
3760,703,689391.4,3242875.7,752.51,836120,1,0.04
3980,677,688611.4,3236275.7,161.58,179536,4,0.03
3065,515,683751.4,3263725.7,84.09,93431,2,1.14
3280,337,678411.4,3257275.7,82.17,91300,3,0.03
3123,778,691641.4,3261985.7,64.85,72059,1,0.57
3460,744,690621.4,3251875.7,59.9,66561,3,0.34
3538,752,690861.4,3249535.7,42.67,47411,1,0.18
3550,732,690261.4,3249175.7,35.64,39597,3,0.01
3313,769,691371.4,3256285.7,28.73,31923,2,0.04
3494,202,674361.4,3250855.7,21.79,24207,1,0.88
2893,823,692991.4,3268885.7,21.59,23987,2,0.1
4152,573,685491.4,3231115.7,19.68,21868,3,0.06
2960,616,686781.4,3266875.7,16.24,18042,2,0.3
2867,785,691851.4,3269665.7,13.54,15043,1,0.85
3632,707,689511.4,3246715.7,12.42,13804,2,0.11
3091,438,681441.4,3262945.7,12.06,13397,2,0.88
2993,831,693231.4,3265885.7,11.67,12964,2,0.3
3887,661,688131.4,3239065.7,11.39,12661,2,0.23
4234,541,684531.4,3228655.7,10.15,11275,3,0.59
2930,853,693891.4,3267775.7,9.56,10618,1,0.03
3336,281,676731.4,3255595.7,8.24,9156,2,0.13
3365,782,691761.4,3254725.7,7.46,8286,4,0.33
3125,416,680781.4,3261925.7,7.31,8125,2,0.03
2839,720,689901.4,3270505.7,7.23,8031,1,1.35
3394,249,675771.4,3253855.7,6.93,7705,1,0.06
4012,642,687561.4,3235315.7,6.83,7585,3,0.01
2916,845,693651.4,3268195.7,6.12,6795,1,0.26
4113,600,686301.4,3232285.7,6.04,6716,2,0.57
3494,749,690771.4,3250855.7,5.73,6372,3,0.02
2869,684,688821.4,3269605.7,5.62,6249,4,0.07
3939,672,688461.4,3237505.7,5.35,5946,2,0.63
3178,772,691461.4,3260335.7,4.71,5237,3,0.01
3542,164,673221.4,3249415.7,4.62,5136,2,0.11
2917,653,687891.4,3268165.7,4.54,5047,2,0.86
3344,782,691761.4,3255355.7,4.33,4809,3,0.04
4240,542,684561.4,3228475.7,3.57,3963,2,0.11
3278,774,691521.4,3257335.7,3.32,3685,4,0.28
3484,225,675051.4,3251155.7,3.1,3449,1,0.32
3610,149,672771.4,3247375.7,3.0,3334,2,0.03
3569,156,672981.4,3248605.7,2.76,3066,1,0.6
2988,830,693201.4,3266035.7,2.72,3025,3,0.19
3069,806,692481.4,3263605.7,2.62,2911,2,0.34
3240,759,691071.4,3258475.7,2.51,2784,4,0.16
3848,642,687561.4,3240235.7,2.47,2743,2,0.0
3173,385,679851.4,3260485.7,2.37,2636,1,0.78
3100,789,691971.4,3262675.7,1.95,2163,4,0.46
3197,388,679941.4,3259765.7,1.92,2128,2,0.41
3664,688,688941.4,3245755.7,1.69,1880,2,0.14
3372,775,691551.4,3254515.7,1.59,1771,2,0.29
2947,850,693801.4,3267265.7,1.54,1711,2,0.03
3396,748,690741.4,3253795.7,1.5,1664,2,0.43
2959,853,693891.4,3266905.7,1.37,1522,3,0.06
4002,650,687801.4,3235615.7,1.36,1512,3,0.0
2924,647,687711.4,3267955.7,1.33,1479,2,0.15
4160,566,685281.4,3230875.7,1.28,1419,2,0.16
4288,526,684081.4,3227035.7,1.27,1412,1,0.05
2898,666,688281.4,3268735.7,1.18,1316,2,0.01
3825,638,687441.4,3240925.7,1.1,1227,1,0.59
4128,581,685731.4,3231835.7,1.07,1193,2,0.08
4022,617,686811.4,3235015.7,1.05,1163,2,0.0
3753,707,689511.4,3243085.7,1.02,1128,6,0.01
3562,720,689901.4,3248815.7,1.01,1127,6,0.01
3438,248,675741.4,3252535.7,1.0,1114,5,0.01
3138,773,691491.4,3261535.7,0.97,1078,2,1.9
2903,838,693441.4,3268585.7,0.93,1036,2,0.2
4157,571,685431.4,3230965.7,0.93,1032,2,0.16
3631,103,671391.4,3246745.7,0.88,977,1,0.63
2845,700,689301.4,3270325.7,0.87,963,2,0.04
3483,745,690651.4,3251185.7,0.86,960,1,0.0
3945,671,688431.4,3237325.7,0.86,959,1,0.69
3571,722,689961.4,3248545.7,0.85,946,3,0.02
