row,col,accum_cells,upstream_km2,offset_m
12,3340,235512.0,211.96,19.0
13,3339,235506.0,211.96,15.0
14,3338,235496.0,211.95,10.9
15,3338,235471.0,211.92,30.0
16,3337,235469.0,211.92,26.0
17,3331,235359.0,211.82,72.9
17,3332,235367.0,211.83,70.6
17,3337,235466.0,211.92,45.1
18,3084,19195.0,17.28,222.5
18,3331,235344.0,211.81,42.9
18,3333,235372.0,211.83,28.4
18,3334,235376.0,211.84,5.2
18,3335,235378.0,211.84,17.9
18,3336,235440.0,211.9,41.0
19,3083,19192.0,17.27,193.2
19,3085,19199.0,17.28,191.8
19,3330,235341.0,211.81,13.7
20,3082,18563.0,16.71,163.9
20,3086,19207.0,17.29,161.0
20,3329,235296.0,211.77,15.6
21,2974,48848.0,43.96,207.2
21,3081,18561.0,16.7,134.6
21,3087,19212.0,17.29,130.3
21,3088,19223.0,17.3,129.6
21,3311,233440.0,210.1,32.4
21,3312,233443.0,210.1,33.1
21,3313,233456.0,210.11,33.8
21,3316,233488.0,210.14,36.0
21,3317,233495.0,210.15,36.8
21,3318,233497.0,210.15,37.5
21,3319,233500.0,210.15,38.2
21,3329,235291.0,211.76,45.6
22,2974,48828.0,43.95,226.3
22,3081,18558.0,16.7,104.6
22,3089,19232.0,17.31,98.9
22,3310,233416.0,210.07,61.6
22,3314,233458.0,210.11,64.6
22,3315,233480.0,210.13,65.3
22,3320,233509.0,210.16,69.0
22,3327,235280.0,211.75,74.1
22,3328,235286.0,211.76,74.8
23,2974,48825.0,43.94,245.5
23,3081,18552.0,16.7,74.7
23,3090,19268.0,17.34,68.2
23,3309,233402.0,210.06,90.9
23,3321,233539.0,210.19,99.7
23,3322,233547.0,210.19,100.4
23,3323,233548.0,210.19,101.2
23,3324,233551.0,210.2,101.9
23,3325,235261.0,211.73,102.6
23,3326,235273.0,211.75,103.4
24,2974,48820.0,43.94,264.6
24,3081,18542.0,16.69,44.7
24,3091,19280.0,17.35,37.5
24,3308,233370.0,210.03,120.1
25,2972,47438.0,42.69,237.5
25,2973,48805.0,43.92,260.6
25,3081,18535.0,16.68,14.7
25,3092,19306.0,17.38,6.8
25,3308,233365.0,210.03,150.1
26,2970,47421.0,42.68,210.3
26,2971,47432.0,42.69,233.5
26,3081,18524.0,16.67,15.3
26,3093,19320.0,17.39,6.0
26,3094,19332.0,17.4,16.2
26,3307,233359.0,210.02,179.4
27,2964,47378.0,42.64,90.8
27,2965,47387.0,42.65,113.9
27,2966,47395.0,42.66,137.0
27,2967,47402.0,42.66,160.1
27,2968,47404.0,42.66,183.2
27,2969,47412.0,42.67,206.4
27,3081,18510.0,16.66,45.3
27,3095,19356.0,17.42,18.2
27,3306,233348.0,210.01,208.6
28,2962,47364.0,42.63,63.7
28,2963,47372.0,42.63,86.8
28,3080,18500.0,16.65,65.9
28,3096,19373.0,17.44,20.1
28,3306,233333.0,210.0,238.6
29,2960,47349.0,42.61,36.6
29,2961,47353.0,42.62,59.7
29,3080,18494.0,16.64,85.0
29,3097,19380.0,17.44,22.1
29,3287,232778.0,209.5,254.7
29,3288,232781.0,209.5,255.4
29,3289,232782.0,209.5,256.1
29,3290,232830.0,209.55,256.9
29,3291,232840.0,209.56,257.6
29,3292,232854.0,209.57,258.3
29,3293,232855.0,209.57,259.1
29,3294,232862.0,209.58,259.8
29,3295,232870.0,209.58,260.5
29,3296,232873.0,209.59,261.3
29,3304,233082.0,209.77,267.2
29,3305,233090.0,209.78,267.9
30,2959,47332.0,42.6,48.5
30,3079,18486.0,16.64,81.0
30,3098,19396.0,17.46,24.1
30,3286,232772.0,209.49,283.9
30,3297,233028.0,209.73,292.0
30,3298,233047.0,209.74,292.7
30,3299,233053.0,209.75,293.5
30,3300,233058.0,209.75,294.2
30,3301,233060.0,209.75,294.9
30,3302,233071.0,209.76,295.7
30,3303,233076.0,209.77,296.4
31,2958,47317.0,42.59,83.2
31,3077,18469.0,16.62,53.9
31,3078,18475.0,16.63,77.0
31,3099,19519.0,17.57,26.1
31,3282,230010.0,207.01,311.0
31,3283,232750.0,209.48,311.7
31,3284,232765.0,209.49,312.4
31,3285,232767.0,209.49,313.2
32,2825,26156.0,23.54,14.6
32,2826,26189.0,23.57,5.5
32,2827,26195.0,23.58,27.7
32,2828,26212.0,23.59,49.9
32,2829,26240.0,23.62,72.1
32,2934,30539.0,27.49,104.6
32,2935,30543.0,27.49,122.8
32,2957,47303.0,42.57,122.9
32,3075,18450.0,16.6,26.7
32,3076,18454.0,16.61,49.9
32,3100,19526.0,17.57,28.1
32,3281,229988.0,206.99,340.2
33,2820,26094.0,23.48,41.1
33,2821,26132.0,23.52,41.8
33,2822,26136.0,23.52,42.5
33,2823,26139.0,23.53,43.2
33,2824,26142.0,23.53,43.9
33,2830,26250.0,23.62,74.1
33,2930,30508.0,27.46,118.0
33,2931,30509.0,27.46,118.7
33,2932,30513.0,27.46,119.4
33,2933,30523.0,27.47,122.0
33,2936,30558.0,27.5,165.2
33,2937,30561.0,27.5,187.1
33,2956,47297.0,42.57,164.0
33,3074,18439.0,16.6,22.7
33,3101,19538.0,17.58,30.0
33,3279,229981.0,206.98,368.8
33,3280,229984.0,206.99,369.5
34,2789,25537.0,22.98,49.6
34,2790,25557.0,23.0,50.3
34,2791,25570.0,23.01,51.0
34,2792,25578.0,23.02,51.7
34,2793,25607.0,23.05,52.4
34,2794,25615.0,23.05,53.1
34,2795,25626.0,23.06,53.8
34,2796,25631.0,23.07,54.4
34,2814,26025.0,23.42,66.9
34,2815,26041.0,23.44,67.6
34,2816,26062.0,23.46,68.3
34,2817,26070.0,23.46,69.0
34,2818,26073.0,23.47,69.7
34,2819,26076.0,23.47,70.4
34,2831,26282.0,23.65,76.1
34,2928,30155.0,27.14,146.6
34,2929,30483.0,27.43,147.3
34,2938,30575.0,27.52,229.4
34,2955,47277.0,42.55,205.6
34,3073,18426.0,16.58,18.7
34,3102,19548.0,17.59,32.0
34,3278,229962.0,206.97,398.0
35,2367,12784.0,11.51,118.3
35,2785,25465.0,22.92,76.8
35,2786,25506.0,22.96,77.5
35,2787,25522.0,22.97,78.2
35,2788,25529.0,22.98,78.9
35,2797,25652.0,23.09,85.1
35,2798,25662.0,23.1,85.8
35,2799,25664.0,23.1,86.5
35,2811,25951.0,23.36,94.8
35,2812,25979.0,23.38,95.5
35,2813,25985.0,23.39,96.2
35,2831,26288.0,23.66,55.9
35,2926,30143.0,27.13,175.2
35,2927,30150.0,27.14,175.9
35,2939,30589.0,27.53,271.7
